02:46:38 Started training model SecondModel with timestamp 1688258798349499200 using the following parameters:
class_count=12
epoch_count=100
batch_size=50
learning_rate=0.0001
weight_decay=0.0001
cuda=False
resize_size=300
use_crop=True
crop_size=250
cross_validation=True
validation_split_percentage=40
validation_epochs=30
validation_accuracy_check=10
validation_grid={'lr': [0.001, 0.0001, 5e-05, 1e-05, 1e-06], 'wd': [0.1, 0.01, 0.001, 0.0001, 1e-05]}
print_to_file=True

02:46:38 Key for the classes:
{'Aquamarine': 0, 'Beryl Golden': 1, 'Bixbite': 2, 'Chrysocolla': 3, 'Emerald': 4, 'Garnet Red': 5, 'Jasper': 6, 'Moonstone': 7, 'Opal': 8, 'Rhodolite': 9, 'Spodumene': 10, 'Tanzanite': 11}
02:46:39 ============ CV run for lr 0.001 and wd 0.1 ============
02:46:52 Epoch 1/30, train loss: 33.5245, train acc: 0.0349, val loss: 37.4791, val acc: 0.0849
02:47:04 Epoch 2/30, train loss: 36.1178, train acc: 0.1047, val loss: 15.9519, val acc: 0.0888
02:47:17 Epoch 3/30, train loss: 11.1894, train acc: 0.1105, val loss: 4.5876, val acc: 0.0811
02:47:29 Epoch 4/30, train loss: 4.3232, train acc: 0.0640, val loss: 3.6616, val acc: 0.0772
02:47:41 Epoch 5/30, train loss: 3.1754, train acc: 0.0988, val loss: 2.7450, val acc: 0.1467
02:47:53 Epoch 6/30, train loss: 2.9978, train acc: 0.1221, val loss: 2.6582, val acc: 0.0772
02:48:05 Epoch 7/30, train loss: 2.9009, train acc: 0.1163, val loss: 2.8553, val acc: 0.0888
02:48:17 Epoch 8/30, train loss: 2.7718, train acc: 0.0814, val loss: 2.7482, val acc: 0.1158
02:48:29 Epoch 9/30, train loss: 3.0638, train acc: 0.0523, val loss: 3.6180, val acc: 0.0772
02:48:41 Epoch 10/30, train loss: 2.8459, train acc: 0.1337, val loss: 2.5664, val acc: 0.0888
02:48:53 Epoch 11/30, train loss: 2.4524, train acc: 0.1337, val loss: 3.0388, val acc: 0.0849
02:49:05 Epoch 12/30, train loss: 2.6957, train acc: 0.0930, val loss: 2.4578, val acc: 0.1274
02:49:17 Epoch 13/30, train loss: 2.4801, train acc: 0.1163, val loss: 2.4661, val acc: 0.0888
02:49:29 Epoch 14/30, train loss: 2.4783, train acc: 0.1047, val loss: 2.4142, val acc: 0.1931
02:49:41 Epoch 15/30, train loss: 2.3955, train acc: 0.2384, val loss: 2.6011, val acc: 0.0347
02:49:54 Epoch 16/30, train loss: 2.4679, train acc: 0.1163, val loss: 2.4674, val acc: 0.1544
02:50:06 Epoch 17/30, train loss: 2.4423, train acc: 0.1279, val loss: 2.4270, val acc: 0.2239
02:50:19 Epoch 18/30, train loss: 2.4153, train acc: 0.2151, val loss: 2.3861, val acc: 0.1892
02:50:31 Epoch 19/30, train loss: 2.3794, train acc: 0.1337, val loss: 2.4130, val acc: 0.1506
02:50:43 Epoch 20/30, train loss: 2.3656, train acc: 0.1686, val loss: 2.3218, val acc: 0.1544
02:50:55 Epoch 21/30, train loss: 2.3455, train acc: 0.1221, val loss: 2.4741, val acc: 0.0965
02:51:07 Epoch 22/30, train loss: 2.4345, train acc: 0.1686, val loss: 2.3726, val acc: 0.1583
02:51:20 Epoch 23/30, train loss: 2.3369, train acc: 0.1337, val loss: 2.8906, val acc: 0.0811
02:51:32 Epoch 24/30, train loss: 2.5515, train acc: 0.1279, val loss: 2.4506, val acc: 0.1004
02:51:44 Epoch 25/30, train loss: 2.4071, train acc: 0.1163, val loss: 2.3918, val acc: 0.1197
02:51:56 Epoch 26/30, train loss: 2.3742, train acc: 0.1395, val loss: 2.3222, val acc: 0.1699
02:52:08 Epoch 27/30, train loss: 2.2732, train acc: 0.2209, val loss: 2.2696, val acc: 0.3166
02:52:20 Epoch 28/30, train loss: 2.2758, train acc: 0.2674, val loss: 2.5516, val acc: 0.1042
02:52:32 Epoch 29/30, train loss: 2.4379, train acc: 0.1744, val loss: 2.3434, val acc: 0.2162
02:52:44 Epoch 30/30, train loss: 2.3676, train acc: 0.2035, val loss: 2.3492, val acc: 0.1390
02:52:44 Mean validation accuracy: 0.15019305019305018

02:52:46 ============ CV run for lr 0.001 and wd 0.01 ============
02:52:58 Epoch 1/30, train loss: 42.9940, train acc: 0.0581, val loss: 53.8253, val acc: 0.1429
02:53:10 Epoch 2/30, train loss: 48.2380, train acc: 0.0814, val loss: 28.4951, val acc: 0.0849
02:53:22 Epoch 3/30, train loss: 18.3149, train acc: 0.0988, val loss: 8.9598, val acc: 0.0888
02:53:34 Epoch 4/30, train loss: 6.0365, train acc: 0.1279, val loss: 4.4429, val acc: 0.0811
02:53:46 Epoch 5/30, train loss: 4.5190, train acc: 0.0698, val loss: 3.5012, val acc: 0.0811
02:53:58 Epoch 6/30, train loss: 3.4254, train acc: 0.0698, val loss: 2.8917, val acc: 0.0772
02:54:11 Epoch 7/30, train loss: 2.6083, train acc: 0.1105, val loss: 2.5568, val acc: 0.1351
02:54:23 Epoch 8/30, train loss: 2.4636, train acc: 0.1163, val loss: 2.6338, val acc: 0.1351
02:54:35 Epoch 9/30, train loss: 2.4487, train acc: 0.1570, val loss: 2.3706, val acc: 0.1313
02:54:47 Epoch 10/30, train loss: 2.3965, train acc: 0.1395, val loss: 2.4905, val acc: 0.1506
02:54:59 Epoch 11/30, train loss: 2.3851, train acc: 0.1512, val loss: 2.3535, val acc: 0.1429
02:55:11 Epoch 12/30, train loss: 2.3261, train acc: 0.1628, val loss: 2.3312, val acc: 0.2124
02:55:23 Epoch 13/30, train loss: 2.2871, train acc: 0.2093, val loss: 2.1439, val acc: 0.1969
02:55:35 Epoch 14/30, train loss: 2.1668, train acc: 0.1977, val loss: 2.1040, val acc: 0.2394
02:55:47 Epoch 15/30, train loss: 2.1153, train acc: 0.3023, val loss: 2.5932, val acc: 0.1660
02:55:59 Epoch 16/30, train loss: 2.5554, train acc: 0.2151, val loss: 2.1788, val acc: 0.2973
02:56:11 Epoch 17/30, train loss: 2.1555, train acc: 0.2558, val loss: 1.9891, val acc: 0.2664
02:56:23 Epoch 18/30, train loss: 1.8851, train acc: 0.2965, val loss: 2.0320, val acc: 0.2896
